supplier;date;product;current_product_category;cost_row_category;raw_bank_category;proposed_category;confidence_current_correct_pct;finding;reason;cost_id
"DSG Bouwmaten B.V. (Bouwmaat Nieuwegein)";"2026-05-27";"Tijdelijke toeslag transportkosten";"overig";"materiaal";"overig";"materiaal";"20";"handmatig beslissen";"Bijkomende kosten/verbruiksmiddel van een materiaalfactuur; huidige verwerking is inconsistent.";"0e733be0-5401-473b-8779-e070b2e14331"
"DSG Bouwmaten B.V. (Bouwmaat Nieuwegein)";"2026-08-12";"Bounty melk 57gr";"overig";"overig";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"f2002abf-dc48-4a70-8a27-9ad06e3084b5"
"DSG Bouwmaten B.V. (Bouwmaat)";"2026-05-26";"Afvalzak LDPE blauw 90x110cm (20 stuks)";"overig";"materiaal";"overig";"materiaal";"20";"handmatig beslissen";"Bijkomende kosten/verbruiksmiddel van een materiaalfactuur; huidige verwerking is inconsistent.";"5f9d89e2-a764-4bc8-b05b-c75d2fe97198"
"DSG Bouwmaten B.V. (Bouwmaat)";"2026-05-26";"Tijdelijke toeslag transportkosten";"overig";"materiaal";"overig";"materiaal";"20";"handmatig beslissen";"Bijkomende kosten/verbruiksmiddel van een materiaalfactuur; huidige verwerking is inconsistent.";"5f9d89e2-a764-4bc8-b05b-c75d2fe97198"
"DSG Bouwmaten B.V. (Bouwmaat)";"2026-08-25";"Transportkosten Keralit";"overig";"materiaal";"(niet gekoppeld)";"materiaal";"20";"handmatig beslissen";"Bijkomende kosten/verbruiksmiddel van een materiaalfactuur; huidige verwerking is inconsistent.";"39d27354-3bca-46dd-9108-974dfc5df0b8"
"Esso Bunnik";"2026-08-10";"Tankbeurt/koffie Esso Bunnik (papieren bon ontbreekt)";"brandstof";"brandstof";"overig";"splitsen: brandstof + eigen_verbruik";"55";"handmatig beslissen";"Omschrijving bevat twee verschillende categorieën en er is geen bon-specificatie.";"1c75d3d4-70a6-41d0-a8e9-38a0d1ffe72f"
"Esso Uitgeest Rijksweg";"2026-08-03";"Tankbeurt/koffie Esso Uitgeest (papieren bon ontbreekt)";"brandstof";"brandstof";"overig";"splitsen: brandstof + eigen_verbruik";"55";"handmatig beslissen";"Omschrijving bevat twee verschillende categorieën en er is geen bon-specificatie.";"c23e6c64-45b9-4825-a5db-bc6156aeed12"
"GAMMA";"2026-08-02";"Protect Home wespen schuimspray 400ml";"materiaal";"materiaal";"overig";"materiaal of overig";"60";"handmatig beslissen";"Doel van de aankoop bepaalt of dit projectmateriaal of algemeen verbruik is.";"60fc0bb9-20c0-4142-af8d-51afd7392bb8"
"GAMMA";"2026-08-08";"Wall charger 20W USB-C";"materiaal";"materiaal";"overig";"telefoon";"5";"waarschijnlijk fout";"Telefoonlader/-kabel.";"c73ce8c4-41d4-4006-bb9f-f5ee4ae8ba3c"
"GAMMA";"2026-08-09";"Fanta Orange 50cl + statiegeld";"overig";"overig";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"aac15872-8dcb-467c-8cad-783171377439"
"GAMMA";"2026-08-09";"Moersleutel Suki 250mm";"materiaal";"materiaal";"overig";"gereedschap";"3";"waarschijnlijk fout";"Herbruikbaar handgereedschap of schildersgereedschap.";"75fafd11-1ec0-414c-9c74-0feb94252623"
"GAMMA";"2026-08-09";"Statiegeld";"overig";"overig";"overig";"retourwaarborg / geen definitieve kosten";"55";"handmatig beslissen";"Statiegeld is terugvorderbaar en mogelijk geen definitieve kostenpost.";"aac15872-8dcb-467c-8cad-783171377439"
"GAMMA";"2026-08-18";"ANZA Premium Universal Flat 50mm";"materiaal";"materiaal";"overig";"gereedschap";"3";"waarschijnlijk fout";"Herbruikbaar handgereedschap of schildersgereedschap.";"0560cd4e-ef86-4dd8-8b5f-d429a38c6060"
"Kentekenmaken.nl";"2026-07-08";"Witte kentekenplaat (auto) - tekst: VDD-37-F";"materiaal";"materiaal";"overig";"autokosten";"2";"waarschijnlijk fout";"Voertuiggebonden uitgave.";"dee5f041-b060-4738-b531-8a0dac7f891e"
"Koffie";"2026-07-20";"Koffie";"materiaal";"materiaal";"overig";"eigen_verbruik";"5";"waarschijnlijk fout";"Eten, drinken of privéartikel; geen bouwmateriaal/gereedschap.";"d61eabed-ae09-403b-85b5-d1c7514b2797"
"MediaMarkt";"2026-07-17";"Samsung EP-DX510JBEGEU USB-C naar USB-C (laadkabel)";"materiaal";"materiaal";"overig";"telefoon";"5";"waarschijnlijk fout";"Telefoonlader/-kabel.";"6e35d3b1-3f4a-4650-a659-571db042f297"
"Moments & More";"2026-08-11";"Lunch met klant";"overig";"overig";"overig";"overig of eigen_verbruik";"80";"handmatig beslissen";"Zakelijke lunch versus privé/eigen verbruik moet beleidsmatig worden gekozen.";"222a2fb4-2f1f-4479-a9fc-922212fdbd5a"
"MS* VIAAMSTERDAM Betaalautomaat AMSTERDAM 12-07-2026 10:06 Pas: 3789 - € 3,39";"2026-07-18";"hotelkosten";"materiaal";"hotel";"overig";"hotel";"1";"waarschijnlijk fout";"Hotel-/verblijfskosten.";"081f740d-0063-40ff-a9aa-72adf5f73e96"
"Praxis Dordrecht";"2026-08-13";"Praxis materiaalaankoop (papieren bon ontbreekt)";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"89964c3c-7676-4d44-9ab2-eb95f180d9a3"
"Praxis Huizen";"2026-08-24";"Praxis materiaalaankoop (papieren bon ontbreekt)";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"983d4d48-e59e-47a3-ab8f-8c1e5fa4488b"
"Texaco Zaandam Prins";"2026-08-04";"Tankbeurt/koffie Texaco (papieren bon ontbreekt)";"brandstof";"brandstof";"overig";"splitsen: brandstof + eigen_verbruik";"55";"handmatig beslissen";"Omschrijving bevat twee verschillende categorieën en er is geen bon-specificatie.";"8fffc11e-532f-40db-85a4-ce131c21a757"
"TMC Dordrecht";"2026-08-14";"Parkeren klant-werkbespreking (bon ontbreekt)";"overig";"overig";"overig";"autokosten";"10";"waarschijnlijk fout";"Parkeerkosten horen bij voertuig-/reiskosten.";"1a6e23c7-765a-4035-8909-a181de937b6a"
"toolstation";"2026-07-15";"(geen productomschrijving)";"materiaal";"materiaal";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"e433cfc1-bdbf-4333-8a87-9b651ea81951"
"Toolstation NL B.V.";"2026-07-20";"Wago verbindingsklemmen";"gereedschap";"gereedschap";"overig";"materiaal";"2";"waarschijnlijk fout";"Elektrisch installatiemateriaal dat in het werk achterblijft.";"6514af44-ffd4-4150-b71a-fa2098cf40c2"
"Total (Beverwijk)";"2026-07-06";"Pintransactie Total Beverwijk (bedrag onbekend gespecificeerd)";"brandstof";"brandstof";"overig";"document/productregels controleren";"60";"onvoldoende informatie";"Omschrijving is te algemeen of leeg voor 98% zekerheid.";"2de69f24-3fa9-4965-bb4f-f1f1c57a1470"
"Total Beverwijk";"2026-08-04";"Tankbeurt/koffie Total Beverwijk (papieren bon ontbreekt)";"brandstof";"brandstof";"overig";"splitsen: brandstof + eigen_verbruik";"55";"handmatig beslissen";"Omschrijving bevat twee verschillende categorieën en er is geen bon-specificatie.";"de6bf78e-099c-4908-843c-c8075b22b715"
"XXL Direct BV";"2026-07-25";"Verzending en verwerking";"overig";"materiaal";"(niet gekoppeld)";"materiaal";"20";"handmatig beslissen";"Bijkomende kosten/verbruiksmiddel van een materiaalfactuur; huidige verwerking is inconsistent.";"e72c5e74-2bcc-4291-b2b5-87bfc2430d68"
